Datetime,price_x,price_y,spread,z_score,beta,raw_signal,position
2025-07-15 12:00:00+00:00,1.1680878400802612,1.3448994159698486,-0.0013078051225634546,0.5879694691608283,0.5287402172684221,0,0.0
2025-07-15 13:00:00+00:00,1.1645511388778687,1.3403388261795044,-0.002865794655987741,-0.3405290658225951,0.5298382749845757,0,0.0
2025-07-15 14:00:00+00:00,1.16225004196167,1.339638590812683,-0.005455380557663869,-1.863173039363995,0.5328771133073207,1,0.0
2025-07-15 15:00:00+00:00,1.1621150970458984,1.3395847082138062,-0.006662199626645965,-2.537825786354522,0.5366811245825165,1,1.0
2025-07-15 16:00:00+00:00,1.15968918800354,1.3385447263717651,-0.010109719698309927,-4.3614047589803935,0.542767404942406,1,1.0
2025-07-15 17:00:00+00:00,1.1599582433700562,1.3385268449783325,-0.011492062331800806,-4.871682390594871,0.548328933768378,1,1.0
2025-07-15 18:00:00+00:00,1.1606314182281494,1.3390285968780518,-0.012605836851368513,-5.153027282548461,0.5534273204130408,1,1.0
2025-07-15 19:00:00+00:00,1.1603620052337646,1.3386342525482178,-0.014267474818241282,-5.590401787033816,0.5588876117486248,1,1.0
2025-07-15 20:00:00+00:00,1.160496711730957,1.338401436805725,-0.015620241669291657,-5.784590719127569,0.5642604755851477,1,1.0
2025-07-15 21:00:00+00:00,1.160496711730957,1.3384909629821777,-0.01748784040121537,-6.086736770741731,0.5705369337768678,1,1.0
2025-07-15 22:00:00+00:00,1.1607661247253418,1.3385984897613525,-0.018613552993485688,-6.028605299813648,0.5750359143909232,1,1.0
2025-07-15 23:00:00+00:00,1.1610356569290161,1.33931565284729,-0.019735096703048904,-5.952736381429466,0.5786152075443058,1,1.0
2025-07-16 00:00:00+00:00,1.161170482635498,1.3394770622253418,-0.02075472186998356,-5.839362328117794,0.5822624569032729,1,1.0
2025-07-16 01:00:00+00:00,1.1617100238800049,1.33969247341156,-0.020932423358289293,-5.506121418074446,0.5841384517061259,1,1.0
