Date,Z_Score,Signal,Position
2025-01-23 14:30:00+00:00,-2.349138629137097,1,1
2025-01-23 15:30:00+00:00,-2.2244826191187252,1,1
2025-01-23 16:30:00+00:00,-2.1895644451822003,1,1
2025-01-23 17:30:00+00:00,-2.2137347195259625,1,1
2025-01-23 18:30:00+00:00,-2.2039912712248437,1,1
2025-01-23 19:30:00+00:00,-2.2475045969171745,1,1
2025-01-23 20:30:00+00:00,-2.295370376366373,1,1
2025-01-24 14:30:00+00:00,-2.2506390752029724,1,1
2025-01-24 15:30:00+00:00,-2.218043479470926,1,1
2025-01-24 16:30:00+00:00,-2.2282701834862677,1,1
2025-01-24 17:30:00+00:00,-2.2883492611766374,1,1
2025-01-24 18:30:00+00:00,-2.2647833278790177,1,1
2025-01-24 19:30:00+00:00,-2.2102731551705825,1,1
2025-01-24 20:30:00+00:00,-2.147143206282305,1,1
2025-01-27 14:30:00+00:00,-1.7653198987672405,1,1
2025-01-27 15:30:00+00:00,-1.506738342326162,1,1
2025-01-27 16:30:00+00:00,-1.4206898124235536,1,1
2025-01-27 17:30:00+00:00,-1.2494603806628697,1,1
2025-01-27 18:30:00+00:00,-1.2306146465417254,1,1
2025-01-27 19:30:00+00:00,-1.22367356424144,1,1
2025-01-27 20:30:00+00:00,-1.2564079452331647,1,1
2025-01-28 14:30:00+00:00,-1.5645391720301558,1,1
2025-01-28 15:30:00+00:00,-1.4795074207956636,1,1
2025-01-28 16:30:00+00:00,-1.6391685791316695,1,1
2025-01-28 17:30:00+00:00,-1.7055257691366306,1,1
2025-01-28 18:30:00+00:00,-1.834153801952048,1,1
2025-01-28 19:30:00+00:00,-1.902197222880829,1,1
2025-01-28 20:30:00+00:00,-1.9576013394335212,1,1
2025-01-29 14:30:00+00:00,-1.7241894152108403,1,1
2025-01-29 15:30:00+00:00,-1.614013489820024,1,1
2025-01-29 16:30:00+00:00,-1.647166664648768,1,1
2025-01-29 17:30:00+00:00,-1.583651684223568,1,1
2025-01-29 18:30:00+00:00,-1.687651063159365,1,1
2025-01-29 19:30:00+00:00,-1.7196920763738806,1,1
2025-01-29 20:30:00+00:00,-1.7836494077873635,1,1
2025-01-30 14:30:00+00:00,-1.4463485024489455,1,1
2025-01-30 15:30:00+00:00,-1.5185185558614593,1,1
2025-01-30 16:30:00+00:00,-1.5479984633142803,1,1
2025-01-30 17:30:00+00:00,-1.2177051280207989,1,1
