ticker,signal,last_price,shares,stop,confidence_score,risk_amount,atr
EURUSD=X,SELL,1.1491611003875732,770,1.1421996342394591,0.564955941291982,4.999860080434041,0.0030289339526748246
USDCAD=X,SELL,1.411769986152649,626,1.4071519194480056,0.5219527183099361,4.6192815570429335,0.00163555917392343
USDJPY=X,SELL,153.52099609375,5,152.20854492681678,0.9117715171218618,8.069177926528477,0.004274500557994522
EURCAD=X,SELL,1.6218600273132324,545,1.6109864774696812,0.779336492216237,6.897127956113698,0.0033521850407659272
